Chaetoderma nitidulum
Mylocheilus caurinus
Dendronephthya gigantea
Serrivomer sector
Halyomorpha halys
Hemiphaga novaeseelandiae
Dermatophagoides farinae
Trachypeplus jacobsoni
Metasalis populi
Leucoraja naevus
Dipturus oxyrinchus
Zearaja maugeana
Bathyraja griseocauda
Bathyraja albomaculata
Bathyraja multispinis
Dipturus innominatus
Zearaja nasuta
Cryptonome barbada
Echinaster brasiliensis
Gibbosula crassa
Mylodon darwinii
Salmo obtusirostris
Lygus pratensis
Triplophysa dalaica
Triplophysa cuneicephala
Dosinia troscheli
Dosinia altior
Epimeria cornigera
Cardiodactylus muiri
Taeniopteryx ugola
Ara tricolor
Sorex isodon
Cricetus cricetus
Reticunassa hiradoensis
Phractocephalus hemioliopterus
Leontopithecus chrysopygus
Falcidens halanychi
Falcidens acutargatus
Sorex gracillimus
Sinocyclocheilus oxycephalus
Anomaloglossus blanci
Anomaloglossus degranvillei
Anomaloglossus dewynteri
Anomaloglossus surinamensis
Gorilla beringei
Crassostrea belcheri
Lagenodelphis hosei
Liza carinata
Gerres filamentosus
Dendrothrips minowai
Tingis cardui
Dictyla platyoma
Cysteochila chiniana
Lytechinus variegatus
Toromys rhipidurus
Toromys albiventris
Pattonomys semivillosus
Pattonomys punctatus
Makalata macrura
Echimys saturnus
Semisulcospira coreana
Salpa fusiformis
Salpa thompsoni
Dentex dentex
Suwallia teleckojensis
Paroster microsturtensis
Paroster mesosturtensis
Paroster macrosturtensis
Limbodessus palmulaoides
Urostylis flavoannulata
Reduvius gregoryi
Canthesancus helluo
Scipinia horrida
Rhynocoris incertis
Tessaratoma papillosa
Carbula sinica
Saldula burmanica
Cyclopelta parva
Velinus nodipes
Tapeinus singularis
Inara alboguttata
Acanthaspis cincticrus
Carcinochelis bannaensis
Amblythyreus gestroi
Pagellus erythrinus
Dentex gibbosus
Dinorhynchus dybowskyi
Lampsilis powellii
Prochilodus harttii
Paramesotriton deloustali
Spirobranchus giganteus
Calyptogena magnifica
Moschiola indica
Bathyraja shuntovi
Bathyraja richardsoni
Bathyraja meridionalis
Bathyraja maccaini
Amblyraja georgiana
Raja miraletus
Raja clavata
Raja polystigma
Raja asterias
Leucoraja circularis
Prochilodus vimboides
Apis dorsata
Halichoeres hartzfeldii
Cheilinus fasciatus
Triplophysa sp. ZP-2016
Pygoscelis papua
